0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,45,0
13,82,0
14,92,0
15,31,80
16,0,0
17,1,0
18,0,0
19,0,0
20,0,0
21,12,0
22,21,0
23,88,0
24,72,18
25,28,25
26,27,0
27,0,0
28,0,0
29,12,0
30,0,0
31,14,0
32,0,0
33,8,0
34,0,0
35,0,0
36,26,0
37,42,0
38,22,0
39,12,0
40,9,0
41,6,0
42,44,0
43,89,0
44,99,0
45,116,160
46,0,235
47,0,4
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,46,0
61,80,0
62,75,34
63,103,22
64,115,38
65,131,205
66,153,353
67,188,596
68,198,880
69,184,1192
70,175,1619
71,150,1921
72,111,2187
73,151,2270
74,167,2422
75,149,2645
76,196,2840
77,204,3080
78,212,3422
79,202,3779
80,243,4143
81,261,4644
82,236,5106
83,204,5555
84,210,5954
85,205,6289
86,196,6691
87,199,6987
88,241,7371
89,251,7805
90,211,8248
91,189,8571
92,200,8845
93,242,9276
94,0,9703
95,0,9382
96,0,9125
97,0,8880
98,0,8638
99,0,8452
100,0,8203
101,0,8081
102,0,7699
103,0,7367
104,0,7044
105,0,6789
106,0,6494
107,0,6251
108,0,5900
109,50,5620
110,23,5421
111,17,5269
112,0,5116
113,0,4829
114,4,4650
115,0,4480
116,22,4176
117,54,3940
118,82,3902
119,104,3882
120,108,3903
121,103,3997
122,131,4078
123,116,4126
124,117,4258
125,78,4416
126,74,4435
127,117,4472
128,65,4639
129,90,4592
130,135,4639
131,146,4724
132,201,4895
133,208,5262
134,235,5622
135,254,6149
136,291,6750
137,303,7411
138,275,8082
139,319,8725
140,300,9433
141,284,10118
142,0,10738
143,0,10589
144,0,10447
145,0,10295
146,0,10050
147,0,9788
148,0,9582
149,0,9413
150,0,9231
151,0,8968
152,0,8799
153,0,8632
154,0,8458
155,0,8252
156,0,7977
157,41,7807
158,81,7805
159,72,7866
160,63,7864
161,89,7848
162,85,7897
163,125,7936
164,67,8070
165,35,8060
166,12,7889
167,44,7738
168,10,7702
169,26,7598
170,33,7392
171,27,7221
172,38,7091
173,46,6981
174,9,6860
175,32,6553
176,52,6465
177,31,6405
178,58,6225
179,76,6174
180,114,6090
181,62,6115
182,50,5972
183,46,5893
184,0,5825
185,39,5648
186,46,5543
187,85,5375
188,57,5392
189,51,5241
190,0,5054
191,0,4715
192,0,4519
193,0,4297
194,0,4093
195,0,3845
196,0,3634
197,0,3323
198,0,3107
199,0,2855
200,0,2618
201,0,2327
202,0,2139
203,0,1934
204,0,1718
205,73,1480
206,51,1534
207,83,1447
208,112,1443
209,166,1558
210,124,1733
211,111,2015
212,56,2106
213,0,1961
214,2,1725
215,44,1544
216,29,1360
217,0,1140
218,0,917
219,0,692
220,0,492
221,0,324
222,16,227
223,0,88
224,0,0
225,0,0
226,13,0
227,0,0
228,0,0
229,0,0
230,17,0
231,40,0
232,18,0
233,34,0
234,39,0
235,6,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,39,0
255,11,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,31,0
263,0,0
264,6,0
265,33,0
266,87,0
267,86,0
268,98,0
269,61,100
270,114,0
271,118,1
272,160,57
273,210,270
274,246,598
275,223,1078
276,199,1488
277,210,1761
278,193,2129
279,199,2511
280,189,2828
281,217,3154
282,230,3431
283,209,3849
284,194,4243
285,228,4564
286,0,4927
287,0,4752
288,0,4500
289,0,4302
290,0,4127
291,0,3863
292,0,3655
293,0,3391
294,0,3166
295,0,2891
296,0,2581
297,0,2330
298,0,2100
299,0,1898
300,0,1687
301,48,1366
302,75,1227
303,80,1112
304,86,1157
305,86,1047
306,115,1137
307,92,1302
308,57,1349
309,55,1440
310,55,1278
311,68,1214
312,105,1144
313,106,1185
314,169,1313
315,229,1478
316,185,1882
317,183,2234
318,184,2518
319,177,2902
320,155,3215
321,167,3447
322,135,3634
323,101,3759
324,85,3784
325,58,3780
326,94,3632
327,105,3608
328,154,3740
329,156,3971
330,118,4267
331,166,4410
332,198,4638
333,179,5004
334,0,5281
335,0,4996
336,0,4836
337,0,4672
338,0,4471
339,0,4253
340,0,4033
341,0,3733
342,0,3420
343,0,3175
344,0,2898
345,0,2664
346,0,2432
347,0,2084
348,0,1794
349,33,1600
350,14,1484
351,55,1257
352,40,1078
353,25,1037
354,0,770
355,0,504
356,16,279
357,46,0
358,35,0
359,51,0
360,23,0
361,34,0
362,63,0
363,56,0
364,28,0
365,14,0
366,0,0
367,0,0
368,23,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,17,0
375,18,0
376,31,0
377,16,0
378,25,0
379,6,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,27,0
397,25,0
398,45,0
399,52,0
400,90,0
401,89,0
402,50,0
403,40,0
404,24,0
405,37,0
406,13,0
407,0,0
408,52,0
409,66,0
410,68,0
411,2,0
412,0,0
413,24,0
414,74,0
415,55,0
416,66,0
417,32,0
418,21,0
419,18,0
420,20,0
421,10,0
422,26,0
423,30,0
424,85,0
425,78,0
426,103,0
427,101,26
428,77,65
429,98,105
430,0,132
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,2,0
446,0,0
447,0,0
448,0,0
449,35,0
450,88,1
451,91,0
452,98,0
453,94,0
454,141,0
455,185,207
456,186,453
457,175,625
458,163,762
459,166,880
460,242,1083
461,217,1478
462,226,1811
463,249,2144
464,234,2591
465,255,3043
466,249,3533
467,242,4120
468,301,4638
469,301,5345
470,301,6053
471,272,6565
472,244,7146
473,261,7648
474,233,8023
475,223,8406
476,230,8813
477,235,9154
478,0,9635
479,0,9354
480,0,9084
481,0,8699
482,0,8404
483,0,8041
484,0,7703
485,0,7357
486,0,7152
487,0,6823
488,0,6572
489,0,6356
490,0,6062
491,0,5720
492,0,5433
493,0,5039
494,0,4761
495,12,4507
496,19,4219
497,37,4142
498,27,4034
499,44,3744
500,0,3642
501,0,3446
502,0,3108
503,6,2897
504,15,2717
505,5,2401
506,5,2204
507,2,1897
508,11,1533
509,0,1232
510,44,1072
511,62,878
512,33,694
513,0,564
514,0,270
515,19,13
516,41,0
517,0,0
518,18,0
519,29,0
520,34,0
521,73,0
522,40,0
523,39,0
524,87,0
525,57,67
